Date,Invoice,Customer,Product,Category,Qty,Unit,Total,GST%,City
1/26/2026,INV1026,Tata Steel 6,Hook,Safety,6,1730,10380,18,Jaipur
1/27/2026,INV1027,Larsen & Toubro 6,Chain Pulley Block,Rigging,3,3881,11643,18,Jaipur
1/28/2026,INV1028,JSW Steel 6,Chain Pulley Block,Safety,16,3640,58240,18,Delhi
1/29/2026,INV1029,Jindal Steel 6,Web Sling,Safety,15,830,12450,18,Faridabad
1/30/2026,INV1030,BHEL 6,Wire Rope,Lifting,18,2192,39456,18,Noida
1/31/2026,INV1031,Tata Steel 7,Web Sling,Safety,3,2728,8184,18,Gurugram
2/1/2026,INV1032,Larsen & Toubro 7,Chain Sling,Safety,16,5272,84352,18,Delhi
2/2/2026,INV1033,JSW Steel 7,Wire Rope,Safety,20,4075,81500,18,Delhi
2/3/2026,INV1034,Jindal Steel 7,Web Sling,Rigging,10,5149,51490,18,Noida
2/4/2026,INV1035,BHEL 7,Eye Bolt,Safety,17,3420,58140,18,Gurugram
2/5/2026,INV1036,Tata Steel 8,Chain Pulley Block,Rigging,5,6168,30840,18,Faridabad
2/6/2026,INV1037,Larsen & Toubro 8,Eye Bolt,Rigging,12,1675,20100,18,Delhi
2/7/2026,INV1038,JSW Steel 8,Wire Rope,Safety,19,4754,90326,18,Jaipur
2/8/2026,INV1039,Jindal Steel 8,Turnbuckle,Safety,4,5616,22464,18,Faridabad
2/9/2026,INV1040,BHEL 8,Chain Sling,Lifting,12,4200,50400,18,Gurugram
2/10/2026,INV1041,Tata Steel 9,Chain Sling,Lifting,2,7430,14860,18,Delhi
2/11/2026,INV1042,Larsen & Toubro 9,Hook,Rigging,9,7340,66060,18,Faridabad
2/12/2026,INV1043,JSW Steel 9,Hook,Rigging,12,6168,74016,18,Delhi
2/13/2026,INV1044,Jindal Steel 9,Wire Rope,Safety,5,1889,9445,18,Jaipur
2/14/2026,INV1045,BHEL 9,Shackle,Safety,15,6013,90195,18,Gurugram
2/15/2026,INV1046,Tata Steel 10,Shackle,Rigging,1,1349,1349,18,Noida
2/16/2026,INV1047,Larsen & Toubro 10,Wire Rope,Rigging,8,1814,14512,18,Gurugram
2/17/2026,INV1048,JSW Steel 10,Shackle,Rigging,5,2688,13440,18,Jaipur
2/18/2026,INV1049,Jindal Steel 10,Hook,Rigging,11,7502,82522,18,Faridabad
2/19/2026,INV1050,BHEL 10,Chain Sling,Safety,16,1401,22416,18,Faridabad
2/20/2026,INV1051,Tata Steel 11,Wire Rope,Rigging,6,3668,22008,18,Faridabad
2/21/2026,INV1052,Larsen & Toubro 11,Hook,Safety,8,6243,49944,18,Gurugram
2/22/2026,INV1053,JSW Steel 11,Shackle,Safety,18,3461,62298,18,Noida
2/23/2026,INV1054,Jindal Steel 11,Chain Pulley Block,Rigging,9,7992,71928,18,Gurugram
2/24/2026,INV1055,BHEL 11,Wire Rope,Lifting,14,7452,104328,18,Noida
2/25/2026,INV1056,Tata Steel 12,Turnbuckle,Lifting,2,7655,15310,18,Gurugram
2/26/2026,INV1057,Larsen & Toubro 12,Eye Bolt,Lifting,1,2540,2540,18,Jaipur
2/27/2026,INV1058,JSW Steel 12,Chain Pulley Block,Lifting,11,3527,38797,18,Noida
2/28/2026,INV1059,Jindal Steel 12,Turnbuckle,Safety,18,6264,112752,18,Delhi
3/1/2026,INV1060,BHEL 12,Wire Rope,Rigging,2,2178,4356,18,Gurugram
3/2/2026,INV1061,Tata Steel 13,Hook,Rigging,15,3904,58560,18,Gurugram
3/3/2026,INV1062,Larsen & Toubro 13,Chain Sling,Rigging,4,1804,7216,18,Gurugram
3/4/2026,INV1063,JSW Steel 13,Chain Pulley Block,Safety,17,2071,35207,18,Gurugram
3/5/2026,INV1064,Jindal Steel 13,Chain Pulley Block,Lifting,4,6615,26460,18,Faridabad
3/6/2026,INV1065,BHEL 13,Eye Bolt,Rigging,8,7562,60496,18,Jaipur
3/7/2026,INV1066,Tata Steel 14,Turnbuckle,Lifting,10,7758,77580,18,Faridabad
3/8/2026,INV1067,Larsen & Toubro 14,Wire Rope,Rigging,18,1197,21546,18,Faridabad
3/9/2026,INV1068,JSW Steel 14,Chain Sling,Safety,17,1918,32606,18,Delhi
3/10/2026,INV1069,Jindal Steel 14,Wire Rope,Safety,17,3201,54417,18,Noida
3/11/2026,INV1070,BHEL 14,Eye Bolt,Safety,5,2882,14410,18,Delhi
3/12/2026,INV1071,Tata Steel 15,Shackle,Safety,20,4636,92720,18,Delhi
3/13/2026,INV1072,Larsen & Toubro 15,Chain Sling,Lifting,8,5040,40320,18,Delhi
3/14/2026,INV1073,JSW Steel 15,Turnbuckle,Lifting,5,7776,38880,18,Delhi
3/15/2026,INV1074,Jindal Steel 15,Chain Sling,Rigging,14,4616,64624,18,Delhi
3/16/2026,INV1075,BHEL 15,Web Sling,Lifting,8,7673,61384,18,Faridabad
3/17/2026,INV1076,Tata Steel 16,Wire Rope,Rigging,7,4239,29673,18,Faridabad
3/18/2026,INV1077,Larsen & Toubro 16,Shackle,Safety,7,3254,22778,18,Delhi
3/19/2026,INV1078,JSW Steel 16,Turnbuckle,Lifting,10,7138,71380,18,Jaipur
3/20/2026,INV1079,Jindal Steel 16,Wire Rope,Lifting,18,2491,44838,18,Noida
3/21/2026,INV1080,BHEL 16,Shackle,Lifting,13,3342,43446,18,Noida
3/22/2026,INV1081,Tata Steel 17,Web Sling,Lifting,9,3977,35793,18,Gurugram
3/23/2026,INV1082,Larsen & Toubro 17,Hook,Safety,6,3231,19386,18,Noida
3/24/2026,INV1083,JSW Steel 17,Chain Pulley Block,Rigging,17,1965,33405,18,Noida
3/25/2026,INV1084,Jindal Steel 17,Shackle,Safety,2,7032,14064,18,Faridabad
3/26/2026,INV1085,BHEL 17,Chain Sling,Rigging,6,1141,6846,18,Noida
3/27/2026,INV1086,Tata Steel 18,Hook,Lifting,18,7706,138708,18,Faridabad
3/28/2026,INV1087,Larsen & Toubro 18,Wire Rope,Lifting,20,4330,86600,18,Delhi
3/29/2026,INV1088,JSW Steel 18,Shackle,Rigging,17,6525,110925,18,Jaipur
3/30/2026,INV1089,Jindal Steel 18,Chain Pulley Block,Rigging,15,4657,69855,18,Gurugram
3/31/2026,INV1090,BHEL 18,Chain Pulley Block,Safety,8,5503,44024,18,Faridabad
4/1/2026,INV1091,Tata Steel 19,Wire Rope,Lifting,10,2343,23430,18,Noida
4/2/2026,INV1092,Larsen & Toubro 19,Turnbuckle,Lifting,12,1705,20460,18,Faridabad
4/3/2026,INV1093,JSW Steel 19,Shackle,Lifting,18,6700,120600,18,Jaipur
4/4/2026,INV1094,Jindal Steel 19,Turnbuckle,Rigging,16,2240,35840,18,Jaipur
4/5/2026,INV1095,BHEL 19,Chain Pulley Block,Safety,6,2348,14088,18,Noida
4/6/2026,INV1096,Tata Steel 20,Web Sling,Safety,7,3535,24745,18,Jaipur
4/7/2026,INV1097,Larsen & Toubro 20,Chain Pulley Block,Safety,4,2391,9564,18,Noida
4/8/2026,INV1098,JSW Steel 20,Web Sling,Safety,5,620,3100,18,Jaipur
4/9/2026,INV1099,Jindal Steel 20,Turnbuckle,Safety,9,7218,64962,18,Delhi
4/10/2026,INV1100,BHEL 20,Shackle,Safety,5,5332,26660,18,Faridabad
4/11/2026,INV1101,Tata Steel 21,Web Sling,Lifting,14,2727,38178,18,Faridabad
4/12/2026,INV1102,Larsen & Toubro 21,Turnbuckle,Lifting,6,5517,33102,18,Gurugram
4/13/2026,INV1103,JSW Steel 21,Hook,Safety,15,3819,57285,18,Gurugram
4/14/2026,INV1104,Jindal Steel 21,Hook,Lifting,10,2397,23970,18,Gurugram
4/15/2026,INV1105,BHEL 21,Chain Pulley Block,Lifting,19,4571,86849,18,Noida
4/16/2026,INV1106,Tata Steel 22,Shackle,Rigging,18,1616,29088,18,Jaipur
4/17/2026,INV1107,Larsen & Toubro 22,Turnbuckle,Safety,19,7816,148504,18,Noida
4/18/2026,INV1108,JSW Steel 22,Chain Pulley Block,Safety,8,4814,38512,18,Faridabad
4/19/2026,INV1109,Jindal Steel 22,Eye Bolt,Safety,11,2486,27346,18,Delhi
4/20/2026,INV1110,BHEL 22,Web Sling,Lifting,16,5449,87184,18,Gurugram
4/21/2026,INV1111,Tata Steel 23,Chain Sling,Rigging,20,3079,61580,18,Gurugram
4/22/2026,INV1112,Larsen & Toubro 23,Eye Bolt,Safety,18,6489,116802,18,Jaipur
4/23/2026,INV1113,JSW Steel 23,Web Sling,Rigging,19,4245,80655,18,Faridabad
4/24/2026,INV1114,Jindal Steel 23,Eye Bolt,Lifting,6,3429,20574,18,Noida
4/25/2026,INV1115,BHEL 23,Turnbuckle,Safety,10,2230,22300,18,Delhi
4/26/2026,INV1116,Tata Steel 24,Web Sling,Rigging,18,6652,119736,18,Noida
4/27/2026,INV1117,Larsen & Toubro 24,Web Sling,Rigging,4,6041,24164,18,Gurugram
4/28/2026,INV1118,JSW Steel 24,Wire Rope,Rigging,11,7373,81103,18,Jaipur
4/29/2026,INV1119,Jindal Steel 24,Chain Pulley Block,Safety,12,1789,21468,18,Faridabad
4/30/2026,INV1120,BHEL 24,Web Sling,Lifting,10,5169,51690,18,Delhi
5/1/2026,INV1121,Tata Steel 25,Turnbuckle,Lifting,15,5420,81300,18,Faridabad
5/2/2026,INV1122,Larsen & Toubro 25,Chain Pulley Block,Lifting,7,3320,23240,18,Gurugram
5/3/2026,INV1123,JSW Steel 25,Web Sling,Safety,2,6404,12808,18,Gurugram
5/4/2026,INV1124,Jindal Steel 25,Turnbuckle,Rigging,10,3800,38000,18,Jaipur
5/5/2026,INV1125,BHEL 25,Hook,Rigging,12,537,6444,18,Noida
5/6/2026,INV1126,Tata Steel 26,Wire Rope,Rigging,11,3801,41811,18,Noida
5/7/2026,INV1127,Larsen & Toubro 26,Hook,Safety,11,3105,34155,18,Delhi
5/8/2026,INV1128,JSW Steel 26,Web Sling,Safety,10,7511,75110,18,Faridabad
5/9/2026,INV1129,Jindal Steel 26,Shackle,Rigging,16,6709,107344,18,Noida
5/10/2026,INV1130,BHEL 26,Turnbuckle,Lifting,6,4717,28302,18,Delhi
5/11/2026,INV1131,Tata Steel 27,Web Sling,Safety,1,2469,2469,18,Jaipur
5/12/2026,INV1132,Larsen & Toubro 27,Eye Bolt,Safety,5,1849,9245,18,Gurugram
5/13/2026,INV1133,JSW Steel 27,Turnbuckle,Lifting,18,5721,102978,18,Noida
5/14/2026,INV1134,Jindal Steel 27,Eye Bolt,Safety,8,5177,41416,18,Faridabad
5/15/2026,INV1135,BHEL 27,Chain Sling,Safety,11,6745,74195,18,Faridabad
5/16/2026,INV1136,Tata Steel 28,Turnbuckle,Lifting,2,5759,11518,18,Gurugram
5/17/2026,INV1137,Larsen & Toubro 28,Eye Bolt,Lifting,10,5732,57320,18,Noida
5/18/2026,INV1138,JSW Steel 28,Shackle,Lifting,6,1685,10110,18,Jaipur
5/19/2026,INV1139,Jindal Steel 28,Wire Rope,Rigging,10,6845,68450,18,Jaipur
5/20/2026,INV1140,BHEL 28,Chain Pulley Block,Safety,13,7488,97344,18,Jaipur
5/21/2026,INV1141,Tata Steel 29,Chain Pulley Block,Safety,7,2025,14175,18,Delhi
5/22/2026,INV1142,Larsen & Toubro 29,Turnbuckle,Lifting,1,6081,6081,18,Faridabad
5/23/2026,INV1143,JSW Steel 29,Shackle,Safety,10,5451,54510,18,Delhi
5/24/2026,INV1144,Jindal Steel 29,Chain Sling,Safety,6,4843,29058,18,Jaipur
5/25/2026,INV1145,BHEL 29,Turnbuckle,Safety,1,7320,7320,18,Jaipur
5/26/2026,INV1146,Tata Steel 30,Turnbuckle,Safety,8,1303,10424,18,Noida
5/27/2026,INV1147,Larsen & Toubro 30,Shackle,Rigging,3,1066,3198,18,Noida
5/28/2026,INV1148,JSW Steel 30,Turnbuckle,Lifting,6,4003,24018,18,Delhi
5/29/2026,INV1149,Jindal Steel 30,Chain Pulley Block,Lifting,8,4090,32720,18,Noida
5/30/2026,INV1150,BHEL 30,Chain Sling,Lifting,20,6759,135180,18,Delhi
5/31/2026,INV1151,Tata Steel 31,Chain Sling,Lifting,7,1369,9583,18,Faridabad
6/1/2026,INV1152,Larsen & Toubro 31,Chain Pulley Block,Lifting,1,5645,5645,18,Jaipur
6/2/2026,INV1153,JSW Steel 31,Shackle,Safety,3,5709,17127,18,Jaipur
6/3/2026,INV1154,Jindal Steel 31,Turnbuckle,Safety,2,4129,8258,18,Noida
6/4/2026,INV1155,BHEL 31,Web Sling,Safety,15,3139,47085,18,Noida
6/5/2026,INV1156,Tata Steel 32,Web Sling,Rigging,9,6407,57663,18,Faridabad
6/6/2026,INV1157,Larsen & Toubro 32,Eye Bolt,Safety,19,4370,83030,18,Jaipur
6/7/2026,INV1158,JSW Steel 32,Wire Rope,Rigging,8,7329,58632,18,Gurugram
6/8/2026,INV1159,Jindal Steel 32,Turnbuckle,Safety,14,3233,45262,18,Delhi
6/9/2026,INV1160,BHEL 32,Wire Rope,Safety,4,6766,27064,18,Gurugram
6/10/2026,INV1161,Tata Steel 33,Hook,Safety,9,715,6435,18,Noida
6/11/2026,INV1162,Larsen & Toubro 33,Hook,Safety,12,3198,38376,18,Noida
6/12/2026,INV1163,JSW Steel 33,Shackle,Lifting,18,3574,64332,18,Noida
6/13/2026,INV1164,Jindal Steel 33,Shackle,Lifting,11,4257,46827,18,Noida
6/14/2026,INV1165,BHEL 33,Chain Sling,Safety,15,7808,117120,18,Noida
6/15/2026,INV1166,Tata Steel 34,Web Sling,Lifting,14,1296,18144,18,Delhi
6/16/2026,INV1167,Larsen & Toubro 34,Eye Bolt,Safety,11,2615,28765,18,Gurugram
6/17/2026,INV1168,JSW Steel 34,Eye Bolt,Safety,16,3248,51968,18,Faridabad
6/18/2026,INV1169,Jindal Steel 34,Chain Pulley Block,Lifting,12,5255,63060,18,Jaipur
6/19/2026,INV1170,BHEL 34,Chain Pulley Block,Lifting,20,3269,65380,18,Faridabad
6/20/2026,INV1171,Tata Steel 35,Chain Pulley Block,Safety,1,7563,7563,18,Jaipur
6/21/2026,INV1172,Larsen & Toubro 35,Hook,Lifting,18,3081,55458,18,Gurugram
6/22/2026,INV1173,JSW Steel 35,Hook,Lifting,5,7824,39120,18,Delhi
6/23/2026,INV1174,Jindal Steel 35,Chain Sling,Safety,15,3301,49515,18,Delhi
6/24/2026,INV1175,BHEL 35,Chain Pulley Block,Rigging,6,6285,37710,18,Delhi
6/25/2026,INV1176,Tata Steel 36,Chain Pulley Block,Rigging,9,4736,42624,18,Jaipur
6/26/2026,INV1177,Larsen & Toubro 36,Chain Pulley Block,Lifting,20,7060,141200,18,Faridabad
6/27/2026,INV1178,JSW Steel 36,Shackle,Safety,10,560,5600,18,Noida
6/28/2026,INV1179,Jindal Steel 36,Web Sling,Safety,2,7073,14146,18,Noida
6/29/2026,INV1180,BHEL 36,Chain Pulley Block,Lifting,11,6350,69850,18,Delhi
1/1/2026,INV1181,Tata Steel 37,Wire Rope,Lifting,11,6421,70631,18,Gurugram
1/2/2026,INV1182,Larsen & Toubro 37,Web Sling,Rigging,19,4544,86336,18,Noida
1/3/2026,INV1183,JSW Steel 37,Turnbuckle,Lifting,19,5280,100320,18,Noida
1/4/2026,INV1184,Jindal Steel 37,Chain Sling,Lifting,13,1679,21827,18,Jaipur
1/5/2026,INV1185,BHEL 37,Chain Sling,Rigging,2,1828,3656,18,Gurugram
1/6/2026,INV1186,Tata Steel 38,Chain Sling,Lifting,5,1614,8070,18,Delhi
1/7/2026,INV1187,Larsen & Toubro 38,Wire Rope,Lifting,9,2504,22536,18,Gurugram
1/8/2026,INV1188,JSW Steel 38,Chain Pulley Block,Lifting,13,2298,29874,18,Delhi
1/9/2026,INV1189,Jindal Steel 38,Web Sling,Safety,20,5564,111280,18,Faridabad
1/10/2026,INV1190,BHEL 38,Hook,Lifting,10,1238,12380,18,Gurugram
1/11/2026,INV1191,Tata Steel 39,Wire Rope,Safety,6,7407,44442,18,Faridabad
1/12/2026,INV1192,Larsen & Toubro 39,Wire Rope,Rigging,6,6254,37524,18,Noida
1/13/2026,INV1193,JSW Steel 39,Wire Rope,Rigging,19,2147,40793,18,Gurugram
1/14/2026,INV1194,Jindal Steel 39,Chain Pulley Block,Rigging,18,3781,68058,18,Jaipur
1/15/2026,INV1195,BHEL 39,Hook,Rigging,17,1420,24140,18,Gurugram
1/16/2026,INV1196,Tata Steel 40,Web Sling,Lifting,7,6202,43414,18,Faridabad
1/17/2026,INV1197,Larsen & Toubro 40,Shackle,Safety,17,2478,42126,18,Faridabad
1/18/2026,INV1198,JSW Steel 40,Turnbuckle,Rigging,12,7313,87756,18,Gurugram
1/19/2026,INV1199,Jindal Steel 40,Chain Pulley Block,Safety,2,6169,12338,18,Faridabad
1/20/2026,INV1200,BHEL 40,Eye Bolt,Lifting,13,2530,32890,18,Faridabad
1/21/2026,INV1201,Tata Steel 41,Hook,Lifting,7,6734,47138,18,Noida
1/22/2026,INV1202,Larsen & Toubro 41,Wire Rope,Rigging,20,4760,95200,18,Gurugram
1/23/2026,INV1203,JSW Steel 41,Eye Bolt,Safety,11,2210,24310,18,Delhi
1/24/2026,INV1204,Jindal Steel 41,Web Sling,Lifting,19,4867,92473,18,Jaipur
1/25/2026,INV1205,BHEL 41,Chain Pulley Block,Safety,16,1185,18960,18,Jaipur
1/26/2026,INV1206,Tata Steel 42,Web Sling,Lifting,14,3839,53746,18,Delhi
1/27/2026,INV1207,Larsen & Toubro 42,Web Sling,Lifting,6,4282,25692,18,Jaipur
1/28/2026,INV1208,JSW Steel 42,Chain Sling,Lifting,6,4576,27456,18,Gurugram
1/29/2026,INV1209,Jindal Steel 42,Turnbuckle,Safety,18,6671,120078,18,Jaipur
1/30/2026,INV1210,BHEL 42,Web Sling,Lifting,4,1083,4332,18,Faridabad
1/31/2026,INV1211,Tata Steel 43,Eye Bolt,Lifting,20,3532,70640,18,Jaipur
2/1/2026,INV1212,Larsen & Toubro 43,Web Sling,Safety,6,7656,45936,18,Delhi
2/2/2026,INV1213,JSW Steel 43,Wire Rope,Lifting,11,2660,29260,18,Gurugram
2/3/2026,INV1214,Jindal Steel 43,Web Sling,Lifting,14,6569,91966,18,Gurugram
2/4/2026,INV1215,BHEL 43,Web Sling,Rigging,3,4822,14466,18,Jaipur
2/5/2026,INV1216,Tata Steel 44,Eye Bolt,Lifting,3,3167,9501,18,Delhi
2/6/2026,INV1217,Larsen & Toubro 44,Web Sling,Rigging,12,6923,83076,18,Gurugram
2/7/2026,INV1218,JSW Steel 44,Hook,Lifting,1,7812,7812,18,Delhi
2/8/2026,INV1219,Jindal Steel 44,Wire Rope,Lifting,18,3994,71892,18,Delhi
2/9/2026,INV1220,BHEL 44,Chain Pulley Block,Rigging,15,3240,48600,18,Gurugram
2/10/2026,INV1221,Tata Steel 45,Eye Bolt,Rigging,5,6075,30375,18,Gurugram
2/11/2026,INV1222,Larsen & Toubro 45,Shackle,Lifting,7,4131,28917,18,Faridabad
2/12/2026,INV1223,JSW Steel 45,Wire Rope,Lifting,11,7692,84612,18,Gurugram
2/13/2026,INV1224,Jindal Steel 45,Chain Sling,Lifting,7,1893,13251,18,Gurugram
2/14/2026,INV1225,BHEL 45,Chain Pulley Block,Lifting,12,5180,62160,18,Delhi
2/15/2026,INV1226,Tata Steel 46,Hook,Lifting,10,7589,75890,18,Gurugram
2/16/2026,INV1227,Larsen & Toubro 46,Shackle,Rigging,18,3800,68400,18,Gurugram
2/17/2026,INV1228,JSW Steel 46,Wire Rope,Lifting,1,6497,6497,18,Delhi
2/18/2026,INV1229,Jindal Steel 46,Eye Bolt,Rigging,18,5459,98262,18,Jaipur
2/19/2026,INV1230,BHEL 46,Chain Pulley Block,Lifting,8,7866,62928,18,Noida
2/20/2026,INV1231,Tata Steel 47,Turnbuckle,Lifting,14,3528,49392,18,Faridabad
2/21/2026,INV1232,Larsen & Toubro 47,Chain Pulley Block,Rigging,9,5700,51300,18,Jaipur
2/22/2026,INV1233,JSW Steel 47,Chain Sling,Safety,15,7675,115125,18,Jaipur
2/23/2026,INV1234,Jindal Steel 47,Shackle,Lifting,20,4736,94720,18,Faridabad
2/24/2026,INV1235,BHEL 47,Turnbuckle,Lifting,5,5009,25045,18,Gurugram
2/25/2026,INV1236,Tata Steel 48,Web Sling,Safety,12,6167,74004,18,Noida
2/26/2026,INV1237,Larsen & Toubro 48,Chain Sling,Rigging,1,1915,1915,18,Jaipur
2/27/2026,INV1238,JSW Steel 48,Eye Bolt,Rigging,1,7426,7426,18,Noida
2/28/2026,INV1239,Jindal Steel 48,Hook,Safety,6,6989,41934,18,Delhi
3/1/2026,INV1240,BHEL 48,Turnbuckle,Safety,2,7095,14190,18,Noida
3/2/2026,INV1241,Tata Steel 49,Eye Bolt,Lifting,12,1423,17076,18,Gurugram
3/3/2026,INV1242,Larsen & Toubro 49,Eye Bolt,Safety,10,613,6130,18,Jaipur
3/4/2026,INV1243,JSW Steel 49,Eye Bolt,Safety,12,6274,75288,18,Delhi
3/5/2026,INV1244,Jindal Steel 49,Hook,Rigging,12,3170,38040,18,Jaipur
3/6/2026,INV1245,BHEL 49,Turnbuckle,Rigging,3,4872,14616,18,Delhi
3/7/2026,INV1246,Tata Steel 50,Turnbuckle,Rigging,18,7394,133092,18,Delhi
3/8/2026,INV1247,Larsen & Toubro 50,Hook,Safety,3,3173,9519,18,Jaipur
3/9/2026,INV1248,JSW Steel 50,Chain Sling,Safety,11,2931,32241,18,Jaipur
3/10/2026,INV1249,Jindal Steel 50,Chain Sling,Safety,4,7696,30784,18,Faridabad
3/11/2026,INV1250,BHEL 50,Eye Bolt,Rigging,18,5084,91512,18,Faridabad
3/12/2026,INV1251,Tata Steel 51,Turnbuckle,Lifting,7,7794,54558,18,Noida
3/13/2026,INV1252,Larsen & Toubro 51,Hook,Lifting,4,3985,15940,18,Faridabad
3/14/2026,INV1253,JSW Steel 51,Chain Pulley Block,Lifting,17,894,15198,18,Noida
3/15/2026,INV1254,Jindal Steel 51,Shackle,Lifting,19,3200,60800,18,Gurugram
3/16/2026,INV1255,BHEL 51,Turnbuckle,Lifting,17,4524,76908,18,Faridabad
3/17/2026,INV1256,Tata Steel 52,Turnbuckle,Safety,17,4101,69717,18,Jaipur
3/18/2026,INV1257,Larsen & Toubro 52,Chain Pulley Block,Rigging,3,4117,12351,18,Jaipur
3/19/2026,INV1258,JSW Steel 52,Shackle,Safety,10,7942,79420,18,Gurugram
3/20/2026,INV1259,Jindal Steel 52,Chain Sling,Safety,2,1692,3384,18,Delhi
3/21/2026,INV1260,BHEL 52,Chain Sling,Safety,7,6355,44485,18,Delhi
3/22/2026,INV1261,Tata Steel 53,Web Sling,Safety,15,6292,94380,18,Delhi
3/23/2026,INV1262,Larsen & Toubro 53,Shackle,Safety,15,1221,18315,18,Delhi
3/24/2026,INV1263,JSW Steel 53,Turnbuckle,Lifting,14,5503,77042,18,Faridabad
3/25/2026,INV1264,Jindal Steel 53,Shackle,Lifting,6,7828,46968,18,Gurugram
3/26/2026,INV1265,BHEL 53,Shackle,Rigging,11,5857,64427,18,Jaipur
3/27/2026,INV1266,Tata Steel 54,Eye Bolt,Rigging,4,2424,9696,18,Faridabad
3/28/2026,INV1267,Larsen & Toubro 54,Wire Rope,Lifting,3,5240,15720,18,Gurugram
3/29/2026,INV1268,JSW Steel 54,Wire Rope,Safety,6,2336,14016,18,Jaipur
3/30/2026,INV1269,Jindal Steel 54,Chain Pulley Block,Lifting,9,6736,60624,18,Gurugram
3/31/2026,INV1270,BHEL 54,Shackle,Lifting,17,4274,72658,18,Faridabad
4/1/2026,INV1271,Tata Steel 55,Turnbuckle,Rigging,3,1959,5877,18,Faridabad
4/2/2026,INV1272,Larsen & Toubro 55,Chain Sling,Rigging,10,6595,65950,18,Gurugram
4/3/2026,INV1273,JSW Steel 55,Chain Sling,Safety,2,1591,3182,18,Jaipur
4/4/2026,INV1274,Jindal Steel 55,Wire Rope,Safety,4,5260,21040,18,Jaipur
4/5/2026,INV1275,BHEL 55,Web Sling,Lifting,6,2635,15810,18,Delhi
4/6/2026,INV1276,Tata Steel 56,Hook,Rigging,13,2258,29354,18,Delhi
4/7/2026,INV1277,Larsen & Toubro 56,Shackle,Rigging,11,5207,57277,18,Noida
4/8/2026,INV1278,JSW Steel 56,Turnbuckle,Lifting,11,3513,38643,18,Gurugram
4/9/2026,INV1279,Jindal Steel 56,Shackle,Lifting,17,5029,85493,18,Noida
4/10/2026,INV1280,BHEL 56,Wire Rope,Rigging,8,7392,59136,18,Jaipur
4/11/2026,INV1281,Tata Steel 57,Turnbuckle,Safety,15,1814,27210,18,Noida
4/12/2026,INV1282,Larsen & Toubro 57,Hook,Safety,2,6118,12236,18,Delhi
4/13/2026,INV1283,JSW Steel 57,Chain Pulley Block,Lifting,15,691,10365,18,Jaipur
4/14/2026,INV1284,Jindal Steel 57,Web Sling,Rigging,10,5143,51430,18,Faridabad
4/15/2026,INV1285,BHEL 57,Eye Bolt,Rigging,1,2509,2509,18,Jaipur
4/16/2026,INV1286,Tata Steel 58,Wire Rope,Lifting,4,7394,29576,18,Noida
4/17/2026,INV1287,Larsen & Toubro 58,Eye Bolt,Rigging,6,5415,32490,18,Noida
